Month,New Artists Discovered
2018-10,13
2018-11,41
2018-12,3
2019-02,56
2019-03,393
2019-04,264
2019-05,252
2019-06,84
2019-07,110
2019-08,157
2019-09,115
2019-10,146
2019-11,81
2019-12,42
2020-01,50
2020-02,108
2020-03,114
2020-04,120
2020-05,96
2020-06,66
2020-07,107
2020-08,43
2020-09,40
2020-10,12
2020-11,34
2020-12,13
2021-01,6
2021-02,20
2021-03,37
2021-04,43
2021-05,4
2021-06,106
2021-07,49
2021-08,20
2021-09,8
2021-10,6
2021-11,64
2021-12,32
2022-02,50
2022-03,81
2022-04,58
2022-05,40
2022-06,84
2022-07,21
2022-08,17
2022-09,100
2022-10,66
2022-11,33
2022-12,44
2023-01,50
2023-02,31
2023-03,25
2023-04,45
2023-05,70
2023-06,47
2023-07,27
2023-08,15
2023-09,33
2023-10,29
2023-11,3
2023-12,17
2024-01,25
2024-02,27
2024-03,12
2024-04,16
2024-05,11
2024-06,1
2024-07,26
2024-08,16
2024-09,16
2024-10,55
2024-11,14
2024-12,7
2025-01,27
2025-02,14
2025-03,31
2025-04,19
2025-05,34
2025-06,15
2025-07,11
2025-08,18
2025-09,5
2025-10,3
