start_date,end_date,days
2022-08-02,2022-11-27,118
2022-11-29,2023-03-23,115
2023-03-25,2023-07-12,110
2022-04-22,2022-07-11,81
2023-07-22,2023-09-23,64
2022-02-17,2022-04-20,63
2020-01-12,2020-03-06,55
2019-02-26,2019-04-20,54
2019-10-04,2019-11-25,53
2020-07-01,2020-08-10,41
2020-08-19,2020-09-27,40
2021-08-03,2021-09-10,39
2019-07-13,2019-08-19,38
2023-11-01,2023-12-04,34
2025-05-24,2025-06-24,32
2023-12-06,2024-01-06,32
2025-07-23,2025-08-20,29
2020-09-30,2020-10-26,27
2025-06-26,2025-07-21,26
2024-09-23,2024-10-18,26
2021-11-29,2021-12-23,25
2025-08-22,2025-09-15,25
2024-03-21,2024-04-13,24
2024-10-20,2024-11-12,24
2024-02-02,2024-02-23,22
2021-02-05,2021-02-25,21
2020-05-15,2020-06-04,21
2025-05-03,2025-05-22,20
2023-10-12,2023-10-30,19
2021-07-10,2021-07-28,19
2019-05-14,2019-06-01,19
2019-11-29,2019-12-16,18
2019-09-05,2019-09-22,18
2025-04-15,2025-05-01,17
2025-02-12,2025-02-28,17
2024-06-04,2024-06-19,16
2021-01-07,2021-01-22,16
2024-08-23,2024-09-07,16
2025-03-18,2025-03-31,14
2021-09-30,2021-10-13,14
2020-04-17,2020-04-30,14
2019-12-18,2019-12-31,14
2022-07-15,2022-07-27,13
2020-11-15,2020-11-27,13
2020-03-31,2020-04-12,13
2019-08-22,2019-09-03,13
2025-04-02,2025-04-13,12
2022-01-02,2022-01-13,12
2025-01-14,2025-01-25,12
2023-09-25,2023-10-06,12
2021-03-06,2021-03-16,11
2021-01-24,2021-02-03,11
2020-03-11,2020-03-21,11
2021-09-14,2021-09-24,11
2019-06-17,2019-06-27,11
2024-05-10,2024-05-19,10
2020-05-04,2020-05-13,10
2021-03-29,2021-04-07,10
2024-04-15,2024-04-24,10
2025-03-02,2025-03-10,9
2024-12-16,2024-12-24,9
2024-03-10,2024-03-18,9
2020-01-02,2020-01-10,9
2024-08-10,2024-08-18,9
2025-09-17,2025-09-24,8
2024-01-22,2024-01-29,8
2024-05-21,2024-05-28,8
2024-11-14,2024-11-21,8
2025-09-27,2025-10-04,8
2019-04-28,2019-05-05,8
2019-06-05,2019-06-12,8
2020-12-13,2020-12-20,8
2020-12-27,2021-01-03,8
2021-11-20,2021-11-27,8
2024-06-21,2024-06-27,7
2024-07-14,2024-07-20,7
2023-07-14,2023-07-20,7
2021-06-25,2021-07-01,7
2021-05-22,2021-05-28,7
2021-10-15,2021-10-21,7
2020-11-08,2020-11-13,6
2024-09-16,2024-09-21,6
2024-07-22,2024-07-27,6
2020-06-19,2020-06-24,6
2021-03-18,2021-03-23,6
2024-04-26,2024-05-01,6
2021-04-09,2021-04-14,6
2021-07-03,2021-07-08,6
2020-03-24,2020-03-29,6
2019-06-30,2019-07-05,6
2021-11-13,2021-11-18,6
2025-02-02,2025-02-07,6
2024-02-25,2024-02-29,5
2025-03-12,2025-03-16,5
2024-07-08,2024-07-12,5
2025-01-27,2025-01-31,5
2020-11-29,2020-12-03,5
2024-01-11,2024-01-15,5
2020-08-13,2020-08-17,5
2019-04-22,2019-04-26,5
2025-01-05,2025-01-09,5
2020-11-02,2020-11-06,5
2021-06-03,2021-06-07,5
2024-12-26,2024-12-30,5
2024-06-30,2024-07-04,5
2021-12-27,2021-12-31,5
2024-11-23,2024-11-27,5
2024-11-29,2024-12-03,5
2021-06-20,2021-06-23,4
2020-12-22,2020-12-25,4
2020-10-28,2020-10-31,4
2019-09-24,2019-09-27,4
2024-01-17,2024-01-20,4
2021-10-23,2021-10-26,4
2024-09-11,2024-09-14,4
2020-06-15,2020-06-17,3
2022-07-29,2022-07-31,3
2025-01-01,2025-01-03,3
2024-12-12,2024-12-14,3
2021-02-28,2021-03-02,3
2024-08-04,2024-08-06,3
2024-07-31,2024-08-02,3
2024-05-06,2024-05-08,3
2021-07-30,2021-08-01,3
2021-11-06,2021-11-08,3
2023-10-08,2023-10-10,3
2022-01-31,2022-02-02,3
2022-02-09,2022-02-11,3
2022-02-13,2022-02-15,3
