artist,first_listen,last_listen,listening_span_days,total_streams
Coldplay,2018-11-25 07:02:49+00:00,2025-10-09 18:40:30+00:00,2510,695
Ed Sheeran,2018-11-25 19:42:59+00:00,2025-09-20 03:02:28+00:00,2490,260
Foreign Air,2018-11-25 07:10:04+00:00,2025-08-30 20:01:43+00:00,2470,42
Sufjan Stevens,2018-11-17 10:53:20+00:00,2025-08-14 21:29:07+00:00,2462,81
Khalid,2018-11-26 10:34:04+00:00,2025-08-19 23:49:35+00:00,2458,94
Gryffin,2018-11-26 10:35:19+00:00,2025-08-16 16:14:34+00:00,2455,60
The Vamps,2018-11-25 07:01:15+00:00,2025-08-16 01:07:27+00:00,2455,50
Shawn Mendes,2018-11-26 10:38:24+00:00,2025-08-08 00:06:08+00:00,2446,348
Sam Smith,2018-11-25 19:44:38+00:00,2025-07-30 02:58:05+00:00,2438,120
Sigala,2018-11-25 06:58:07+00:00,2025-07-20 00:58:38+00:00,2428,19
Cigarettes After Sex,2019-02-27 03:40:42+00:00,2025-10-07 20:26:16+00:00,2414,605
Pink Floyd,2019-03-02 07:55:26+00:00,2025-10-10 21:09:26+00:00,2414,312
The Beatles,2019-03-02 07:59:24+00:00,2025-10-10 15:40:51+00:00,2414,373
Billie Eilish,2019-02-28 01:57:28+00:00,2025-10-07 19:04:52+00:00,2413,278
Taylor Swift,2019-02-27 03:22:26+00:00,2025-10-04 04:54:16+00:00,2411,1434
Marshmello,2019-02-27 03:27:35+00:00,2025-09-29 22:00:14+00:00,2406,63
ZAYN,2019-03-01 06:17:39+00:00,2025-09-30 22:18:21+00:00,2405,3284
Pritam,2019-03-08 16:09:19+00:00,2025-10-03 16:35:06+00:00,2401,1372
Darshan Raval,2019-03-08 16:12:14+00:00,2025-10-03 00:52:31+00:00,2400,106
Jeremy Zucker,2019-03-20 18:58:25+00:00,2025-10-09 06:09:55+00:00,2394,151
Eagles,2019-03-02 07:58:37+00:00,2025-09-19 17:38:17+00:00,2393,40
Jonas Brothers,2019-03-02 04:20:45+00:00,2025-09-20 03:36:33+00:00,2393,83
Queen,2019-03-01 18:06:40+00:00,2025-09-19 17:16:17+00:00,2393,536
The Police,2019-03-02 08:00:16+00:00,2025-09-19 17:31:45+00:00,2393,124
The Rolling Stones,2019-03-02 08:02:40+00:00,2025-09-19 17:23:20+00:00,2393,83
Imagine Dragons,2019-03-03 21:33:25+00:00,2025-09-20 03:20:29+00:00,2392,509
AC/DC,2019-03-03 22:05:28+00:00,2025-09-19 17:45:40+00:00,2391,72
Maroon 5,2019-03-08 16:15:26+00:00,2025-09-20 22:51:50+00:00,2388,328
Martin Garrix,2019-03-07 16:14:43+00:00,2025-09-20 02:54:29+00:00,2388,171
Halsey,2019-03-08 16:14:32+00:00,2025-09-20 03:22:33+00:00,2387,108
