year_month,Unique Tracks,Unique Artists,Unique Albums,Total Streams,Diversity Score
2018-10,13,13,13,14,92.85714285714286
2018-11,51,44,43,64,68.75
2018-12,11,5,9,12,41.66666666666667
2019-01,2,1,2,3,33.33333333333333
2019-02,107,62,88,149,41.61073825503356
2019-03,785,448,587,1581,28.336495888678055
2019-04,731,414,517,1271,32.57277734067664
2019-05,684,421,592,1495,28.160535117056856
2019-06,346,235,293,668,35.17964071856288
2019-07,495,326,423,979,33.299284984678245
2019-08,579,361,455,1313,27.494287890327495
2019-09,648,346,471,946,36.57505285412262
2019-10,902,471,711,1913,24.621014113957134
2019-11,670,343,506,1430,23.986013986013983
2019-12,488,287,365,910,31.538461538461537
2020-01,438,254,318,1179,21.54368108566582
2020-02,699,323,339,1334,24.212893553223388
2020-03,607,388,513,934,41.54175588865097
2020-04,643,403,521,1028,39.202334630350194
2020-05,469,330,402,780,42.30769230769231
2020-06,212,170,191,294,57.82312925170068
2020-07,770,333,529,1368,24.342105263157894
2020-08,439,174,294,746,23.324396782841823
2020-09,650,245,415,1101,22.252497729336966
2020-10,361,108,221,534,20.224719101123593
2020-11,408,215,326,722,29.778393351800553
2020-12,279,156,206,623,25.04012841091493
2021-01,350,196,283,765,25.620915032679736
2021-02,284,170,225,522,32.56704980842912
2021-03,236,165,187,455,36.26373626373626
2021-04,228,119,160,372,31.989247311827956
2021-05,175,134,165,262,51.14503816793893
2021-06,328,241,297,508,47.44094488188976
2021-07,495,302,420,879,34.35722411831627
2021-08,473,237,337,1048,22.614503816793892
2021-09,322,115,221,691,16.642547033285094
2021-10,176,95,127,415,22.89156626506024
2021-11,340,207,264,496,41.733870967741936
2021-12,324,150,209,505,29.7029702970297
2022-01,163,49,72,338,14.497041420118343
2022-02,448,202,317,776,26.03092783505155
2022-03,721,330,527,1402,23.537803138373754
2022-04,584,254,387,1398,18.168812589413445
2022-05,727,325,538,1809,17.9657269209508
2022-06,590,334,462,1481,22.552329507089805
2022-07,404,206,287,964,21.369294605809127
2022-08,457,177,300,934,18.950749464668093
2022-09,912,440,653,1571,28.007638446849143
2022-10,929,432,671,1603,26.94946974422957
2022-11,533,234,341,877,26.68187001140251
2022-12,578,292,434,1242,23.510466988727856
2023-01,734,326,524,1579,20.64597846738442
2023-02,505,234,365,1375,17.01818181818182
2023-03,683,320,488,1400,22.857142857142858
2023-04,698,349,539,1466,23.806275579809004
2023-05,565,313,464,1245,25.140562248995984
2023-06,615,335,443,1758,19.055745164960182
2023-07,513,298,409,1121,26.583407671721677
2023-08,545,252,363,1179,21.374045801526716
2023-09,428,243,352,799,30.413016270337923
2023-10,446,237,328,819,28.93772893772894
2023-11,270,132,186,735,17.959183673469386
2023-12,344,200,269,648,30.864197530864196
2024-01,245,156,201,470,33.191489361702125
2024-02,125,77,86,417,18.465227817745802
2024-03,185,105,125,412,25.485436893203882
2024-04,286,159,214,801,19.850187265917604
2024-05,297,172,226,594,28.95622895622896
2024-06,157,96,118,463,20.734341252699785
2024-07,210,109,144,341,31.964809384164223
2024-08,135,75,101,310,24.193548387096776
2024-09,257,132,171,505,26.13861386138614
2024-10,373,196,293,651,30.107526881720432
2024-11,264,133,194,669,19.880418535127056
2024-12,127,67,99,401,16.708229426433917
2025-01,183,88,133,487,18.069815195071868
2025-02,161,88,124,397,22.16624685138539
2025-03,306,130,232,668,19.46107784431138
2025-04,339,166,278,635,26.14173228346457
2025-05,316,175,235,648,27.00617283950617
2025-06,346,159,254,1156,13.754325259515571
2025-07,327,194,279,833,23.289315726290518
2025-08,310,220,287,710,30.985915492957744
2025-09,187,77,111,558,13.799283154121863
2025-10,53,38,44,98,38.775510204081634
