Month,Total Streams,Avg Streams/Day,Peak Hours
January,4821,31.50980392156863,"4:00, 17:00, 13:00"
February,4970,31.455696202531644,"19:00, 20:00, 4:00"
March,6852,35.6875,"16:00, 5:00, 18:00"
April,6971,36.883597883597886,"17:00, 16:00, 5:00"
May,6833,37.13586956521739,"16:00, 4:00, 18:00"
June,6328,35.95454545454545,"17:00, 5:00, 10:00"
July,6485,33.08673469387755,"17:00, 18:00, 15:00"
August,6240,30.738916256157637,"16:00, 18:00, 12:00"
September,6171,32.47894736842105,"4:00, 18:00, 17:00"
October,6047,33.04371584699454,"14:00, 19:00, 16:00"
November,4993,29.720238095238095,"16:00, 17:00, 19:00"
December,4341,25.68639053254438,"12:00, 11:00, 5:00"
