Track,Artist,Total Plays,Avg Duration (min),Skip Rate (%)
Memories,Maroon 5,89,2.71,0.0
Lights Up,Harry Styles,73,2.43,0.0
Kohinoor,DIVINE,72,2.72,0.0
Wishing Well,Juice WRLD,64,2.86,0.0
Hollywood's Bleeding,Post Malone,61,2.31,0.0
Lose You To Love Me,Selena Gomez,58,2.92,0.0
Breathe (In the Air),Pink Floyd,53,2.2,0.0
Hate Me (with Juice WRLD),Ellie Goulding,53,2.74,0.0
Righteous,Juice WRLD,52,3.45,0.0
Flight Of The Stars,ZAYN,52,3.09,0.0
Prisoner (feat. Dua Lipa),Miley Cyrus,51,2.56,0.0
Love Language - Acoustic,Connor Price,51,2.74,0.0
Stay,Post Malone,50,2.6,0.0
Jimmy From The Gym,EEVA,50,2.0,0.0
Feels Like Summer,Childish Gambino,50,3.82,0.0
Easy,Camila Cabello,50,2.44,0.0
Life's A Mess II (with Clever & Post Malone),Juice WRLD,49,3.0,0.0
"Another Brick in the Wall, Pt. 2",Pink Floyd,47,2.99,0.0
I Cannot Be (A Sadder Song) (with Gunna),Post Malone,47,2.57,0.0
WITHOUT YOU,The Kid LAROI,47,2.39,0.0
Good Thing (with Kehlani),Zedd,47,2.81,0.0
You Need To Calm Down,Taylor Swift,46,2.12,0.0
if we never met,John K,46,1.91,0.0
"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,46,3.07,0.0
POWERLESS,Linkin Park,46,3.26,0.0
Bad Kingdom,May The Muse,45,2.61,0.0
Hold On To Happiness,Rhys Lewis,44,2.71,0.0
BURN IT DOWN,Linkin Park,44,3.54,0.0
Stand Still,ZAYN,44,3.05,0.0
Quarantine,Talha Anjum,44,3.64,0.0
The Man Who Sold The World - Live,Nirvana,44,3.51,0.0
Somewhere Only We Know,Keane,44,2.82,0.0
Come As You Are,Nirvana,43,3.18,0.0
Little Freak,Harry Styles,43,3.04,0.0
The Sound of Silence - Electric Version,Simon & Garfunkel,43,2.48,0.0
Insane,Post Malone,42,2.62,0.0
Hold On,Justin Bieber,42,2.67,0.0
Cutthroat,Imagine Dragons,42,2.34,0.0
Your Song,Elton John,42,3.7,0.0
Kaagaz Ke Phool,Janisht Joshi,42,2.63,0.0
Wasting Angels (with The Kid LAROI),Post Malone,42,3.62,0.0
Talk,Khalid,41,2.25,0.0
the 1,Taylor Swift,41,3.21,0.0
Turning,Foreign Air,41,2.77,0.0
Paradise City,Guns N' Roses,40,4.0,0.0
Natural,ZAYN,40,3.06,0.0
Blackbird,Imaginary Future,40,1.66,0.0
Come & Go (with Marshmello),Juice WRLD,40,3.07,0.0
If I Got You,ZAYN,40,3.13,0.0
Gumaan,Talha Anjum,39,3.84,0.0
