Artist,Listen Date,Total Streams
Sabrina Claudio,2025-09-29 18:46:47+00:00,1
HUNTR/X,2025-09-23 01:13:49+00:00,1
Van Halen,2025-09-19 17:09:26+00:00,1
Uzair Jaswal,2025-09-04 00:07:17+00:00,1
Steel Banglez,2025-09-04 00:03:19+00:00,1
Redstone Records,2025-08-24 18:23:44+00:00,1
DJ Michael Double,2025-08-16 20:15:35+00:00,1
Armin van Buuren,2025-08-16 16:56:48+00:00,1
Neeti Mohan,2025-08-16 16:17:43+00:00,1
HAUSER,2025-08-16 16:11:18+00:00,1
Rayvanny,2025-08-16 15:45:58+00:00,1
Jevin Gill,2025-08-13 23:27:36+00:00,3
Baggh-e SMG,2025-08-13 22:56:46+00:00,1
Beluga,2025-08-12 00:23:45+00:00,2
grande1899,2025-08-11 23:24:02+00:00,1
Bombay Pulse House,2025-08-11 04:42:01+00:00,1
Benjamin Steer,2025-08-11 04:35:11+00:00,1
Wangden Sherpa,2025-08-11 04:28:49+00:00,1
Ahmed Jahanzeb,2025-08-07 22:55:32+00:00,2
Jatinder Shah,2025-07-27 21:09:34+00:00,1
Cheema Y,2025-07-25 05:12:11+00:00,1
Prem Dhillon,2025-07-25 05:10:57+00:00,1
Elliot James Reay,2025-07-24 19:12:22+00:00,2
Maanu,2025-07-15 06:09:05+00:00,1
Slowdive,2025-07-08 03:10:48+00:00,3
Faye Webster,2025-07-07 01:16:52+00:00,3
Preet Bandre,2025-06-15 09:14:42+00:00,1
Pushpa Paagdharey,2025-06-14 05:55:14+00:00,1
Sarang Kulkarni,2025-06-13 06:21:45+00:00,1
Rohanpreet Singh,2025-06-10 17:08:21+00:00,1
Sofia Mills,2025-06-07 03:44:09+00:00,1
Grouper,2025-06-06 22:01:47+00:00,1
Alvedon,2025-06-06 10:24:10+00:00,1
Harry Hudson,2025-06-05 17:07:17+00:00,1
Joey Pecoraro,2025-06-05 02:31:16+00:00,1
Bobbie Gentry,2025-05-28 02:55:06+00:00,1
K3,2025-05-27 16:23:52+00:00,1
Terry Jacks,2025-05-27 16:07:41+00:00,1
Sai Abhyankkar,2025-05-25 18:08:53+00:00,1
Sultana,2025-05-25 17:42:15+00:00,1
Shiloh Dynasty,2025-05-24 07:24:34+00:00,1
Peachy!,2025-05-24 07:08:53+00:00,1
Oscar Lang,2025-05-24 07:06:49+00:00,1
Men I Trust,2025-05-24 07:00:40+00:00,2
Laufey,2025-05-24 06:23:34+00:00,1
mininova,2025-05-22 20:59:51+00:00,1
Yot Club,2025-05-17 10:21:41+00:00,1
my head is empty,2025-05-17 10:10:40+00:00,1
Austin Farwell,2025-05-17 10:07:59+00:00,1
sign crushes motorist,2025-05-17 10:01:25+00:00,1
Vacations,2025-05-17 09:58:57+00:00,1
Matt Maltese,2025-05-17 09:52:36+00:00,1
Yehezkel Raz,2025-05-17 09:46:28+00:00,1
Zanai Bhosle,2025-05-16 05:16:13+00:00,1
Sushin Shyam,2025-05-12 21:59:05+00:00,1
Sid Paul,2025-04-29 23:50:44+00:00,1
Gourov Dasgupta,2025-04-29 23:50:08+00:00,1
Hrutul,2025-04-29 23:49:46+00:00,1
Simpal Kharel,2025-04-29 06:48:40+00:00,1
Juss,2025-04-29 05:44:59+00:00,1
Albatross,2025-04-28 21:53:07+00:00,1
HAVI,2025-04-28 21:52:28+00:00,1
Afusic,2025-04-20 23:32:07+00:00,1
KSHMR,2025-04-08 03:18:31+00:00,2
Bhuvan Bam,2025-04-04 08:59:44+00:00,2
Harshvardhan Singh,2025-04-04 08:49:44+00:00,2
yung kai,2025-04-04 08:14:17+00:00,2
Love Spells,2025-04-04 06:51:26+00:00,2
Holuka,2025-03-26 18:47:23+00:00,2
Milli Hughes,2025-03-26 10:33:50+00:00,1
Mentatranque,2025-03-26 10:31:38+00:00,1
Dorothy Ashby,2025-03-22 05:38:41+00:00,1
Gunter Kallmann Choir,2025-03-22 05:37:14+00:00,1
Du Blonde,2025-03-18 18:39:52+00:00,1
ASTN,2025-03-05 21:17:10+00:00,1
NIKI,2025-03-05 21:16:37+00:00,1
wave to earth,2025-03-05 15:17:07+00:00,2
Gaurav Kale,2025-02-27 18:28:47+00:00,1
Switchfoot,2025-02-27 18:28:36+00:00,1
Liam Gallagher,2025-02-27 18:21:51+00:00,1
Pale Jay,2025-02-27 18:21:40+00:00,1
Dom Dolla,2025-02-27 18:20:56+00:00,1
Indio Downey,2025-02-27 18:20:11+00:00,1
MICHELLE,2025-02-27 18:19:58+00:00,1
Doechii,2025-02-27 18:19:10+00:00,1
The Wallflowers,2025-02-27 18:16:57+00:00,1
Paresh Pahuja,2025-02-23 14:09:47+00:00,1
Sumedha Karmahe,2025-02-06 08:36:19+00:00,1
Mansheel Gujral,2025-02-06 07:50:51+00:00,1
Ajit Parab,2025-01-08 04:22:57+00:00,1
Prahlad Shinde,2025-01-08 04:22:08+00:00,1
Ravindra,2025-01-08 04:21:47+00:00,1
Sanjay Londe,2025-01-08 04:21:32+00:00,1
Ajay Naik,2025-01-08 04:21:06+00:00,2
Arun Date,2025-01-08 04:18:44+00:00,1
Suman Kalyanpur,2025-01-08 04:18:18+00:00,1
Hridaynath Mangeshkar,2025-01-08 04:16:34+00:00,4
Sudhir Phadke,2025-01-03 05:58:45+00:00,1
Shahir Sable,2025-01-03 05:52:51+00:00,1
Dnyaneshwar Meshram,2025-01-03 05:35:39+00:00,1
