session_id,start_time,end_time,stream_count,total_minutes,unique_tracks,duration_minutes
3054,2022-07-05 18:29:32+00:00,2022-07-06 03:17:33+00:00,204,479.5756333333333,164,528.0166666666667
2601,2022-03-07 18:20:04+00:00,2022-03-08 02:20:46+00:00,163,470.37733333333335,160,480.7
2382,2021-11-03 19:17:01+00:00,2021-11-04 02:24:41+00:00,114,376.2643166666667,106,427.6666666666667
3264,2022-09-12 18:56:12+00:00,2022-09-13 02:01:06+00:00,136,424.0901,129,424.9
6208,2025-06-02 05:56:15+00:00,2025-06-02 12:59:50+00:00,185,406.51666666666665,72,423.5833333333333
3324,2022-09-28 19:37:42+00:00,2022-09-29 02:32:36+00:00,122,417.3915166666667,121,414.9
730,2019-11-01 15:15:16+00:00,2019-11-01 21:04:18+00:00,103,321.4227833333333,97,349.03333333333336
4138,2023-04-08 07:13:06+00:00,2023-04-08 12:26:01+00:00,76,320.60995,76,312.9166666666667
3206,2022-08-27 18:01:26+00:00,2022-08-27 22:53:22+00:00,75,279.1791,74,291.93333333333334
2954,2022-06-09 19:38:22+00:00,2022-06-10 00:28:08+00:00,97,289.9094666666667,78,289.76666666666665
2888,2022-05-23 15:56:57+00:00,2022-05-23 20:41:45+00:00,103,249.60511666666667,74,284.8
5927,2025-02-06 04:07:04+00:00,2025-02-06 08:39:54+00:00,70,267.4832333333333,60,272.8333333333333
434,2019-07-26 13:43:57+00:00,2019-07-26 18:07:25+00:00,89,179.05798333333334,76,263.46666666666664
3268,2022-09-13 17:52:40+00:00,2022-09-13 22:08:32+00:00,66,260.85521666666665,60,255.86666666666667
5758,2024-11-01 22:15:12+00:00,2024-11-02 02:30:17+00:00,66,219.36315,22,255.08333333333334
926,2020-01-02 08:40:41+00:00,2020-01-02 12:52:09+00:00,64,192.45725,52,251.46666666666667
3226,2022-09-02 16:51:09+00:00,2022-09-02 21:00:51+00:00,79,216.74235,55,249.7
282,2019-05-18 18:28:55+00:00,2019-05-18 22:38:24+00:00,239,184.48171666666667,174,249.48333333333332
640,2019-10-11 16:44:04+00:00,2019-10-11 20:48:40+00:00,72,230.5532,69,244.6
1579,2020-09-12 09:17:57+00:00,2020-09-12 13:15:27+00:00,75,227.40401666666668,68,237.5
