master_metadata_album_artist_name,streams
ZAYN,3284
Post Malone,2242
Taylor Swift,1434
Pritam,1372
Linkin Park,1193
AP Dhillon,1137
Harry Styles,882
John Williams,733
Coldplay,695
Anuv Jain,689
Eminem,686
DIVINE,633
Juice WRLD,612
Cigarettes After Sex,605
John Mayer,593
Brainy,545
Queen,536
Imagine Dragons,509
A.R. Rahman,474
Selena Gomez,472
Prateek Kuhad,463
The Weeknd,449
Justin Bieber,444
Shankar-Ehsaan-Loy,431
Westlife,393
The Beatles,373
Mohit Chauhan,361
Miley Cyrus,357
Shawn Mendes,348
One Direction,346
Ariana Grande,338
King,332
The Smiths,331
Maroon 5,328
Ritviz,316
Seedhe Maut,315
Amit Trivedi,313
Pink Floyd,312
The Shins,291
Billie Eilish,278
Dean Martin,272
The Local Train,267
Twenty One Pilots,266
Niall Horan,261
Ed Sheeran,260
Dua Lipa,253
Arijit Singh,250
Jung Kook,249
AUR,230
OAFF,221
